date,indicator,AUS,AUT,BGD,BRB,BEL,BIH,BRA,BGR,CAN,CHL,CHN,CRI,CIV,HRV,CYP,CZE,CSK,DNK,ECU,EGY,SLV,EST,EMU,FIN,FRA,DEU,GRC,HUN,ISL,IND,IRL,ISR,ITA,JPN,JOR,KAZ,KEN,KOR,KGZ,LVA,LTU,LUX,MWI,MYS,MLT,MEX,MNG,MNE,NLD,NIC,MKD,NOR,PRY,POL,PRT,ROU,RUS,SEN,SRB,SVK,SVN,ESP,SWE,TUN,TUR,UGA,UKR,GBR,USA,UZB,VNM,YUG,COL
Nov 2001,AIP_IX,78.0412371134021,84.8473703567488,52.2548265704651,114.864306513582,78.0412371134021,,77.4226820421391,77.620776832912,109.779620056638,81.2571167099031,,75.3479706121888,,88.5433195810854,99.8808254406323,83.3843797856049,,128.162230671736,78.0412371134021,,88.7419684392964,72.4602739726027,102.619974059663,101.852286049238,113.993094360394,94.9750113584734,97.1754948752054,78.0921584478577,46.4997116220378,78.0412371134021,76.2241360099612,69.1388942366562,120.101312456827,94.5195325881659,75.0148726070216,,,56.9579544574185,,82.4931255728691,74.2760473678973,99.5537235241686,59.7788450798615,78.0093892732545,97.1754948752054,93.6023026533558,,117.290578804148,88.5421646699057,65.3580466148847,110.953217975042,127.773713728359,,59.3802546240692,126.910892697587,59.3802546240692,75.5294838609094,,104.809461235217,54.7385455648832,92.0110684638043,121.148415437716,38.9874615566596,83,59.3802546240692,107.096802356309,,115.18821603928,95.6740613919033,,,,
Dec 2001,AIP_IX,70,76.4619345347554,57.6753576253007,104.744484328274,70,,67.8436501185994,83.3242932659159,96.7026251141957,77.203146289029,,74.8952190018379,,85.4014598540146,97.7733174433921,70.9800918836141,,111.634980988593,70,,89.4371220809849,64.1753424657534,95.2529182879377,82.7198124267292,107.68794515521,80.6905951840073,93.3260308270089,68.2700080840743,46.4039848247807,70,80.2263579484318,74.249160332409,102.14137692839,92.2243563001531,71.4051343763078,,,55.1926794597156,,76.3936338638448,75.350781172256,90.9270562466763,65.7433262593544,78.096066372447,93.3260308270089,91.850359678899,,123.291902625579,84.8247455425433,77.8352789309991,89.9429277627471,121.921482565228,,54.6240691808792,109.365607992852,54.6240691808792,77.4324154095452,,103.337713534823,48.5485991706281,76.8008569133268,102.604330090995,35.8646794416844,84,54.6240691808792,118.486482409885,,103.993453355155,95.2141864703042,,,,
Jan 2002,AIP_IX,74.5360824742268,73.8139021699154,56.4506351275554,102.668623367185,74.5360824742268,,71.0210087468324,69.6667432774075,103.924838629029,80.3685752477937,,76.1942533353792,,81.4027292922882,89.5690898827071,69.7166921898928,,122.991128010139,74.5360824742268,,89.894578025838,65.0958904109589,94.8378728923476,89.284876905041,111.02066687795,85.0522489777374,89.6643455128707,68.6337914308811,44.2123449928405,74.5360824742268,74.8597421673008,68.9134413206671,111.904213677182,86.2777631903016,78.1677533429108,60.9536750767357,,56.342864761342,,77.7935172068995,67.1111553388397,96.9756390504356,67.7538255333408,76.2325087398082,89.6643455128707,91.1854656584726,,86.7544311245127,90.0629270401903,83.4082768188293,67.0440721381107,125.920507193368,,55.6329570021619,123.304361952725,55.6329570021619,71.7823985720901,,86.0972404730618,48.6699706685547,85.262876015353,115.877000313775,36.5270877691034,87,55.6329570021619,116.014488798243,69.0369376479873,108.60883797054,95.7046559812821,,,,
Feb 2002,AIP_IX,73.298969072165,74.8069143067304,53.3207887444286,103.187588607457,73.298969072165,,68.3724352162184,67.405194208228,112.800805751155,75.1706076944538,,71.6971914320999,,80.3554427165979,87.461581885467,70.52067381317,,112.141951837769,73.298969072165,,90.2533670021934,63.6493150684931,96.6018158236057,83.8452520515826,106.637086954346,83.8527941844616,90.9787966512792,73.9692805173807,42.0207051609003,73.298969072165,77.0427723155575,66.5086102167834,116.601427584619,91.4940729357854,72.385898994364,56.4435010775866,,50.0406276293103,,73.4938755103742,61.4986565827446,95.4882826232817,65.2071931196247,78.0093892732545,90.9787966512792,86.837269842351,,99.1983525777745,81.6142472052757,82.4524868044766,84.041160849181,119.190441355767,,52.4621667067019,113.946876776866,52.4621667067019,68.762688662865,,90.5124835742444,51.4615151208658,83.9775060251718,113.994352055224,34.4452330257866,80,52.4621667067019,106.366225023947,70.7741910023677,105.662847790507,96.4031262075501,,,,
Mar 2002,AIP_IX,81.1340206185567,81.6476645825671,50.6672233326472,113.134422379341,81.1340206185567,,75.9257745442655,72.8439439209377,111.063130319014,84.189303534864,,71.6523835567946,,89.4001904157411,99.9560935833909,76.6079632465544,,114.372623574144,81.1340206185567,,90.3565188328955,66.5424657534247,106.874189364462,96.1313012895662,117.115644442962,89.631985461154,98.1143885454972,77.7283751010509,44.8337294662641,81.1340206185567,93.3245388379717,72.2200840885072,123.509095095556,104.013216324946,83.8236269201016,59.1628706947206,,59.1675209579112,,78.8934255478711,75.111951437954,101.536865427041,70.032391377192,78.6161289676021,98.1143885454972,88.8530596503103,,110.406707361918,87.2748626946685,84.5211196880764,90.7691751306463,111.387466471592,,63.7040595724237,125.64373324669,63.7040595724237,74.8168029334282,,102.286465177398,52.6752301001315,92.4395251271981,111.829306557891,41.8263543884552,90,63.7040595724237,108.954783597538,78.1764009471191,112.929623567921,98.0282513058693,,,,
Apr 2002,AIP_IX,79.1752577319588,82.6406767193821,51.1661843502471,108.377241010179,79.1752577319588,,78.0838714951361,73.4507009882786,110.727443019624,83.6228583527693,,71.0185337645842,,88.73373532212,103.870037006837,76.1485451761102,,116.80608365019,79.1752577319588,,90.2982156242378,72.1972602739726,98.1582360570687,98.1008206330598,111.140764958049,91.7037710131758,95.5793756357093,74.090541632983,47.6459140628801,79.1752577319588,82.5003476861991,66.8843650767652,110.98319134239,92.1200301052434,87.8483810365786,59.1628706947206,,59.4777683090078,,80.9932505624532,68.5441337446512,103.7183215202,70.970624371719,81.693165988936,95.5793756357093,91.9242367922797,,103.611090681768,79.9245112382928,83.1357452566705,95.4905886614992,124.750060960741,,63.2716790775883,123.986678580132,63.2716790775883,71.9734264495593,,100.078843626807,53.2820875897643,92.7608676247434,121.336680263571,41.5424651052756,87,63.2716790775883,109.974518793195,78.7051302288871,109.983633387889,97.0234102609614,,,,
May 2002,AIP_IX,77.5257731958763,78.5582934902538,54.5001511496648,112.961433965917,77.5257731958763,,78.8686340227254,69.2364973569294,109.468615646908,80.046478967779,,72.8107293984183,,92.5420501428118,102.966819293734,76.3782542113323,,115.690747782003,77.5257731958763,,90.4551858013932,74.827397260274,99.6108949416342,100.820633059789,103.604610431853,85.0522489777374,101.776073859635,72.8779304769604,46.6021560892779,77.5257731958763,86.0477716771161,73.422499640449,126.916877734285,93.0589658594305,81.7416289092717,58.3669576360472,,59.8799007640877,,83.3930505791185,72.245994626331,103.222536044482,69.4962582374623,82.0832129353023,101.776073859635,92.5469153193457,,87.6369787453115,80.0934848349911,76.7365918125935,78.8476059652428,118.507681053402,,65.7218352149892,125.44878563886,65.7218352149892,68.733299758639,,96.2943495400788,55.5881460503692,89.8687851468357,123.219328522121,43.1511710432931,89,65.7218352149892,109.660754117609,76.9678768745066,111.358428805237,97.5680576906308,,,,
Jun 2002,AIP_IX,79.3814432989691,83.8543582199338,56.9722761914099,111.404538245101,79.3814432989691,,76.0238698602142,73.2300620547001,110.96439876037,77.9250862269929,,70.1508385073903,,88.2576959695335,104.697986577181,74.6554364471669,,112.243346007605,79.3814432989691,,90.7646412934998,68.1205479452055,103.450064850843,92.379835873388,114.673650147621,90.8314402544298,105.062201705657,75.1818916734034,45.5575584069278,79.3814432989691,93.4154984274824,73.6479525564381,118.259267787243,96.6060564863594,78.240689578959,58.5659359007156,,55.1234953814223,,79.0934088825932,68.9023783461041,104.709892471636,64.0679101976991,77.3159724797145,105.062201705657,92.0297755256807,,105.023166875046,76.7984996993744,63.5843890334573,86.7559736294214,114.41111923921,,63.4158059092001,117.845828933474,63.4158059092001,69.7619114065501,,96.3994743758213,55.5881460503692,86.3340176738374,117.006589268905,41.6370948663355,88,63.4158059092001,118.759929709628,79.3849250197316,101.538461538462,101.578604679573,,,,
Jul 2002,AIP_IX,71.5463917525773,83.8543582199338,57.7433977640643,111.750515071949,71.5463917525773,,81.7133981852367,77.8855435532062,101.328198636683,84.4336524369441,,73.7810381078873,,95.3030783878134,121.18170984131,73.7366003062787,,97.6425855513308,71.5463917525773,,90.9440357816774,64.0438356164384,100.233463035019,81.6881594372802,110.390151957432,91.4856883234893,112.573351067992,76.394502829426,44.3609734412134,71.5463917525773,71.4942373554052,73.0467447804672,130.693069306931,102.656975791121,90.275168526909,60.7546968120674,,57.1265906482584,,80.6932755603701,67.1111553388397,99.0579380484511,75.2596894895566,85.983682398965,112.573351067992,94.668243860706,,115.348974038391,74.7708165389948,69.3134591469902,79.7918886714134,103.974640331626,,65.4335815517655,132.174478109008,65.4335815517655,73.0461214538095,,94.9277266754271,54.0103165773238,92.4395251271981,126.419830561657,42.9619115211734,88,65.4335815517655,120.564076594252,80.7445146014206,107.430441898527,96.5940236975279,,,,
Aug 2002,AIP_IX,69.1752577319588,68.2971680764987,58.5598794292278,107.166322116211,69.1752577319588,,82.0076841330826,75.4474833371639,108.970021275755,79.6355285415534,,71.2528216908812,,86.8295779117741,80.9132534654707,68.7978560490046,,112.446134347275,69.1752577319588,,90.7915504667264,70.4876712328767,77.9247730220493,94.7245017584994,82.0770295741522,82.7623807360291,93.7954776621548,68.3912691996766,43.1643884754989,69.1752577319588,74.4959038092581,68.3873845166925,60.326962928851,92.2243563001531,98.0594540833241,62.3465229294141,,56.8120192922685,,83.1930672443964,67.5888148074435,78.8298906391578,65.3412264045571,83.253353774401,93.7954776621548,96.4940639485434,,103.875854968008,70.3775030248392,66.7238519674432,76.7229698763591,114.118507681053,,63.8481864040355,88.213792543254,63.8481864040355,73.8469690939691,,94.7174770039422,52.9179730959846,74.9799160939034,82.0834640727957,41.920984149515,82,63.8481864040355,124.721458545778,81.122178374112,100.949263502455,101.087285318891,,,,
